,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.price,token1.price,token0.volumeUSD,token1.volumeUSD,24hr_reward
0,1650153600,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,242489702769707.12,252654370635.0745,782697.3541630167,44980101.722637035,173950750.79661632,181787.6397662466,31.88359353089419,1,1.832909222e-07,0,31.88359353089419,0.0,0.09565078059268256
1,1650067200,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,242489876720457.88,252654188847.43472,782697.3541630167,43181735.246467955,749135695.3550609,781787.6397662465,142.5188412905464,4,1.902443605e-07,0,142.5188412905464,0.0,0.42755652387163917
2,1649980800,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,242490275856153.25,252653770635.0745,782697.3541630167,31707971.69043648,1213281177766.1057,1265115402.74615,235465.48211828287,8,1.940733001e-07,0,235465.48211828287,0.0,706.3964463548486
3,1649894400,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243114584764155.03,252001181153.59116,782697.3541630167,89905058.36871472,288751902.78052306,300206.9497818555,51.378419754093635,1,1.779327487e-07,0,51.378419754093635,0.0,0.15413525926228092
4,1649635200,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243114873516057.84,252000880946.64136,782697.3541630167,62556915.97205681,3689802849.5703135,3836117.7208176046,682.6402649578771,2,1.850072464e-07,0,682.6402649578771,0.0,2.0479207948736313
5,1649548800,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243118563318907.44,251997044828.92053,782697.3541630167,81384384.58746563,3091497703.1000676,3213997.689664318,553.4014933474232,2,1.790075706e-07,0,553.4014933474232,0.0,1.6602044800422695
6,1649376000,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243121654816610.47,251993830831.23087,782697.3541630167,101905257.1617218,334376109.10043854,347620.7947289262,41.30725529118817,1,1.23535307e-07,0,41.30725529118817,0.0,0.12392176587356452
7,1649030400,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243121989192719.6,251993483210.43616,782697.3541630167,122030951.04616706,1201286395.930029,1248861.6154051833,390.46483082173074,1,3.250389184e-07,0,390.46483082173074,0.0,1.1713944924651922
8,1648771200,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243123190479115.56,251992234348.82077,782697.3541630167,117397915.4135085,143980586.22746572,149681.9017050896,53.72217291317611,1,3.731209486e-07,0,53.72217291317611,0.0,0.16116651873952834
9,1648512000,HANU,MIA,0x72e5390edb7727e3d4e3436451dadaff675dbcc0,0x8d52061af43c52204c717d0610ea8f52f955ce0b,243123334459701.75,251992084666.91904,782697.3541630167,116982158.74529947,330798748.3824175,343896.9807660883,92.34733771909654,2,2.791647132e-07,0,92.34733771909654,0.0,0.27704201315728966
